# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
2701.00000000,DELIVERY18,DELIVERY19,0.00000000
2701.00000000,DELIVERY18,DELIVERY22,0.00000000
2701.00000000,DELIVERY21,DELIVERY24,0.00000000
2701.00000000,DELIVERY19,DELIVERY22,0.00000000
2702.00000000,DELIVERY18,DELIVERY19,0.00000000
2702.00000000,DELIVERY18,DELIVERY22,0.00000000
2702.00000000,DELIVERY21,DELIVERY24,0.00000000
2702.00000000,DELIVERY19,DELIVERY22,0.00000000
2703.00000000,DELIVERY18,DELIVERY19,0.00000000
2703.00000000,DELIVERY18,DELIVERY22,0.00000000
2703.00000000,DELIVERY21,DELIVERY24,0.00000000
2703.00000000,DELIVERY19,DELIVERY22,0.00000000
2704.00000000,DELIVERY18,DELIVERY19,0.00000000
2704.00000000,DELIVERY18,DELIVERY22,0.00000000
2704.00000000,DELIVERY21,DELIVERY24,0.00000000
2704.00000000,DELIVERY19,DELIVERY22,0.00000000
2705.00000000,DELIVERY18,DELIVERY19,0.00000000
2705.00000000,DELIVERY18,DELIVERY22,0.00000000
2705.00000000,DELIVERY21,DELIVERY24,0.00000000
2705.00000000,DELIVERY19,DELIVERY22,0.00000000
2706.00000000,DELIVERY18,DELIVERY19,0.00000000
2706.00000000,DELIVERY18,DELIVERY22,0.00000000
2706.00000000,DELIVERY21,DELIVERY24,0.00000000
2706.00000000,DELIVERY19,DELIVERY22,0.00000000
2707.00000000,DELIVERY18,DELIVERY19,0.00000000
2707.00000000,DELIVERY18,DELIVERY22,0.00000000
2707.00000000,DELIVERY21,DELIVERY24,0.00000000
2707.00000000,DELIVERY19,DELIVERY22,0.00000000
2708.00000000,DELIVERY18,DELIVERY19,0.00000000
2708.00000000,DELIVERY18,DELIVERY22,0.00000000
2708.00000000,DELIVERY21,DELIVERY24,0.00000000
2708.00000000,DELIVERY19,DELIVERY22,0.00000000
2709.00000000,DELIVERY18,DELIVERY19,0.00000000
2709.00000000,DELIVERY18,DELIVERY22,0.00000000
2709.00000000,DELIVERY21,DELIVERY24,0.00000000
2709.00000000,DELIVERY19,DELIVERY22,0.00000000
2710.00000000,DELIVERY18,DELIVERY19,0.00000000
2710.00000000,DELIVERY18,DELIVERY22,0.00000000
2710.00000000,DELIVERY21,DELIVERY24,0.00000000
2710.00000000,DELIVERY19,DELIVERY22,0.00000000
2711.00000000,DELIVERY18,DELIVERY19,0.00000000
2711.00000000,DELIVERY18,DELIVERY22,0.00000000
2711.00000000,DELIVERY21,DELIVERY24,0.00000000
2711.00000000,DELIVERY19,DELIVERY22,0.00000000
2712.00000000,DELIVERY18,DELIVERY19,0.00000000
2712.00000000,DELIVERY18,DELIVERY22,0.00000000
2712.00000000,DELIVERY21,DELIVERY24,0.00000000
2712.00000000,DELIVERY19,DELIVERY22,0.00000000
2713.00000000,DELIVERY18,DELIVERY19,0.00000000
2713.00000000,DELIVERY18,DELIVERY22,0.00000000
2713.00000000,DELIVERY21,DELIVERY24,0.00000000
2713.00000000,DELIVERY19,DELIVERY22,0.00000000
2714.00000000,DELIVERY18,DELIVERY19,0.00000000
2714.00000000,DELIVERY18,DELIVERY22,0.00000000
2714.00000000,DELIVERY21,DELIVERY24,0.00000000
2714.00000000,DELIVERY19,DELIVERY22,0.00000000
2715.00000000,DELIVERY18,DELIVERY19,0.00000000
2715.00000000,DELIVERY18,DELIVERY22,0.00000000
2715.00000000,DELIVERY21,DELIVERY24,0.00000000
2715.00000000,DELIVERY19,DELIVERY22,0.00000000
2716.00000000,DELIVERY18,DELIVERY19,0.00000000
2716.00000000,DELIVERY18,DELIVERY22,0.00000000
2716.00000000,DELIVERY21,DELIVERY24,0.00000000
2716.00000000,DELIVERY19,DELIVERY22,0.00000000
2717.00000000,DELIVERY18,DELIVERY19,0.00000000
2717.00000000,DELIVERY18,DELIVERY22,0.00000000
2717.00000000,DELIVERY21,DELIVERY24,0.00000000
2717.00000000,DELIVERY19,DELIVERY22,0.00000000
2718.00000000,DELIVERY18,DELIVERY19,0.00000000
2718.00000000,DELIVERY18,DELIVERY22,0.00000000
2718.00000000,DELIVERY21,DELIVERY24,0.00000000
2718.00000000,DELIVERY19,DELIVERY22,0.00000000
2719.00000000,DELIVERY18,DELIVERY19,0.00000000
2719.00000000,DELIVERY18,DELIVERY22,0.00000000
2719.00000000,DELIVERY21,DELIVERY24,0.00000000
2719.00000000,DELIVERY19,DELIVERY22,0.00000000
2720.00000000,DELIVERY18,DELIVERY19,0.00000000
2720.00000000,DELIVERY18,DELIVERY22,0.00000000
2720.00000000,DELIVERY21,DELIVERY24,0.00000000
2720.00000000,DELIVERY19,DELIVERY22,0.00000000
2721.00000000,DELIVERY18,DELIVERY19,0.00000000
2721.00000000,DELIVERY18,DELIVERY22,0.00000000
2721.00000000,DELIVERY21,DELIVERY24,0.00000000
2721.00000000,DELIVERY19,DELIVERY22,0.00000000
2722.00000000,DELIVERY18,DELIVERY19,0.00000000
2722.00000000,DELIVERY18,DELIVERY22,0.00000000
2722.00000000,DELIVERY21,DELIVERY24,0.00000000
2722.00000000,DELIVERY19,DELIVERY22,0.00000000
2723.00000000,DELIVERY18,DELIVERY19,0.00000000
2723.00000000,DELIVERY18,DELIVERY22,0.00000000
2723.00000000,DELIVERY21,DELIVERY24,0.00000000
2723.00000000,DELIVERY19,DELIVERY22,0.00000000
2724.00000000,DELIVERY18,DELIVERY19,0.00000000
2724.00000000,DELIVERY18,DELIVERY22,0.00000000
2724.00000000,DELIVERY21,DELIVERY24,0.00000000
2724.00000000,DELIVERY19,DELIVERY22,0.00000000
2725.00000000,DELIVERY18,DELIVERY19,0.00000000
2725.00000000,DELIVERY18,DELIVERY22,0.00000000
2725.00000000,DELIVERY21,DELIVERY24,0.00000000
2725.00000000,DELIVERY19,DELIVERY22,0.00000000
2726.00000000,DELIVERY18,DELIVERY19,0.00000000
2726.00000000,DELIVERY18,DELIVERY22,0.00000000
2726.00000000,DELIVERY21,DELIVERY24,0.00000000
2726.00000000,DELIVERY19,DELIVERY22,0.00000000
2727.00000000,DELIVERY18,DELIVERY19,0.00000000
2727.00000000,DELIVERY18,DELIVERY22,0.00000000
2727.00000000,DELIVERY21,DELIVERY24,0.00000000
2727.00000000,DELIVERY19,DELIVERY22,0.00000000
2728.00000000,DELIVERY18,DELIVERY19,0.00000000
2728.00000000,DELIVERY18,DELIVERY22,0.00000000
2728.00000000,DELIVERY21,DELIVERY24,0.00000000
2728.00000000,DELIVERY19,DELIVERY22,0.00000000
2729.00000000,DELIVERY18,DELIVERY19,0.00000000
2729.00000000,DELIVERY18,DELIVERY22,0.00000000
2729.00000000,DELIVERY21,DELIVERY24,0.00000000
2729.00000000,DELIVERY19,DELIVERY22,0.00000000
2730.00000000,DELIVERY18,DELIVERY19,0.00000000
2730.00000000,DELIVERY18,DELIVERY22,0.00000000
2730.00000000,DELIVERY21,DELIVERY24,0.00000000
2730.00000000,DELIVERY19,DELIVERY22,0.00000000
2731.00000000,DELIVERY18,DELIVERY19,0.00000000
2731.00000000,DELIVERY18,DELIVERY22,0.00000000
2731.00000000,DELIVERY21,DELIVERY24,0.00000000
