# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
661.00000000,BACKGROUND24,BACKGROUND27,0.21876072
1192.00000000,BACKGROUND35,BACKGROUND53,0.98600023
1281.00000000,DELIVERY5,DELIVERY9,1.98323166
1418.00000000,BACKGROUND62,DELIVERY4,0.00273112
1432.00000000,BACKGROUND52,DELIVERY4,0.16165983
1532.00000000,BACKGROUND61,BACKGROUND69,0.14579885
1533.00000000,BACKGROUND61,BACKGROUND69,1.83393430
1534.00000000,BACKGROUND61,BACKGROUND69,1.83393430
1597.00000000,BACKGROUND72,BACKGROUND75,0.43760435
1711.00000000,DELIVERY7,DELIVERY8,0.36660191
1712.00000000,DELIVERY7,DELIVERY8,1.66446200
1717.00000000,DELIVERY7,DELIVERY8,0.76363960
1801.00000000,DELIVERY11,DELIVERY13,0.00000000
1802.00000000,DELIVERY11,DELIVERY13,0.00000000
1803.00000000,DELIVERY11,DELIVERY13,0.00000000
1804.00000000,DELIVERY11,DELIVERY13,0.00000000
1805.00000000,DELIVERY11,DELIVERY13,0.00000000
1806.00000000,DELIVERY11,DELIVERY13,0.00000000
1807.00000000,DELIVERY11,DELIVERY13,0.00000000
1808.00000000,DELIVERY11,DELIVERY13,0.00000000
1809.00000000,DELIVERY11,DELIVERY13,0.00000000
1810.00000000,DELIVERY11,DELIVERY13,0.00000000
1811.00000000,DELIVERY11,DELIVERY13,0.00000000
1812.00000000,DELIVERY11,DELIVERY13,0.00000000
1813.00000000,DELIVERY11,DELIVERY13,0.00000000
1814.00000000,DELIVERY11,DELIVERY13,0.00000000
1815.00000000,DELIVERY11,DELIVERY13,0.00000000
1816.00000000,DELIVERY11,DELIVERY13,0.00000000
1817.00000000,DELIVERY11,DELIVERY13,0.00000000
1818.00000000,DELIVERY11,DELIVERY13,0.00000000
1819.00000000,DELIVERY11,DELIVERY13,0.00000000
1820.00000000,DELIVERY11,DELIVERY13,0.00000000
1821.00000000,DELIVERY11,DELIVERY13,0.00000000
1822.00000000,DELIVERY11,DELIVERY13,0.00000000
1823.00000000,DELIVERY11,DELIVERY13,0.00000000
1824.00000000,DELIVERY11,DELIVERY13,0.00000000
1825.00000000,DELIVERY11,DELIVERY13,0.00000000
1826.00000000,DELIVERY11,DELIVERY13,0.00000000
1827.00000000,DELIVERY11,DELIVERY13,0.00000000
1828.00000000,DELIVERY11,DELIVERY13,0.00000000
1829.00000000,DELIVERY11,DELIVERY13,0.00000000
1830.00000000,DELIVERY11,DELIVERY13,0.00000000
1831.00000000,DELIVERY11,DELIVERY13,0.00000000
1832.00000000,DELIVERY11,DELIVERY13,0.00000000
1833.00000000,DELIVERY11,DELIVERY13,0.00000000
1834.00000000,DELIVERY11,DELIVERY13,0.00000000
1835.00000000,DELIVERY11,DELIVERY13,0.00000000
1836.00000000,DELIVERY11,DELIVERY13,0.00000000
1837.00000000,DELIVERY11,DELIVERY13,0.00000000
1838.00000000,DELIVERY11,DELIVERY13,0.00000000
1839.00000000,DELIVERY11,DELIVERY13,0.00000000
1842.00000000,DELIVERY11,DELIVERY13,0.00000000
1843.00000000,DELIVERY11,DELIVERY13,0.00000000
1844.00000000,DELIVERY11,DELIVERY13,0.00000000
1845.00000000,DELIVERY11,DELIVERY13,0.00000000
