# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
239.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,458.26341239
312.00000000,BACKGROUND15,SURVEILLANCE_EUROWINGS,123.89806089
312.00000000,BACKGROUND37,SURVEILLANCE_EUROWINGS,381.20458828
365.00000000,BACKGROUND27,BACKGROUND7,2.65015989
372.00000000,BACKGROUND18,SURVEILLANCE_EUROWINGS,238.73082321
606.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,6.06560571
657.00000000,BACKGROUND37,BACKGROUND40,0.00055656
770.00000000,BACKGROUND20,BACKGROUND39,0.04849314
780.00000000,BACKGROUND44,BACKGROUND58,3.06190222
842.00000000,BACKGROUND34,BACKGROUND76,0.31148881
854.00000000,BACKGROUND39,BACKGROUND80,2.42094248
1196.00000000,BACKGROUND104,BACKGROUND111,0.18880641
1303.00000000,BACKGROUND132,BACKGROUND84,0.87538228
1379.00000000,BACKGROUND101,BACKGROUND91,0.00006463
1418.00000000,BACKGROUND108,BACKGROUND87,0.11909915
1427.00000000,BACKGROUND127,BACKGROUND146,0.15024892
1474.00000000,BACKGROUND137,BACKGROUND139,5.75396563
