# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
1386.00000000,BACKGROUND112,BACKGROUND135,1.03385860
1387.00000000,BACKGROUND112,BACKGROUND135,1.03385887
1388.00000000,BACKGROUND112,BACKGROUND135,1.03385914
1389.00000000,BACKGROUND112,BACKGROUND135,1.03385942
1390.00000000,BACKGROUND112,BACKGROUND135,1.03385970
1391.00000000,BACKGROUND112,BACKGROUND135,1.03385998
1392.00000000,BACKGROUND112,BACKGROUND135,1.03386027
1393.00000000,BACKGROUND112,BACKGROUND135,1.03386056
1394.00000000,BACKGROUND112,BACKGROUND135,1.03386085
1395.00000000,BACKGROUND112,BACKGROUND135,1.03386115
1396.00000000,BACKGROUND112,BACKGROUND135,1.03386144
1397.00000000,BACKGROUND112,BACKGROUND135,1.03386175
1398.00000000,BACKGROUND112,BACKGROUND135,1.03386205
1399.00000000,BACKGROUND112,BACKGROUND135,1.03386236
1400.00000000,BACKGROUND112,BACKGROUND135,1.03386267
1401.00000000,BACKGROUND112,BACKGROUND135,1.03386298
1402.00000000,BACKGROUND112,BACKGROUND135,1.03386330
1403.00000000,BACKGROUND112,BACKGROUND135,1.03386362
1404.00000000,BACKGROUND112,BACKGROUND135,1.03386394
1405.00000000,BACKGROUND112,BACKGROUND135,1.03386426
1406.00000000,BACKGROUND112,BACKGROUND135,1.03386459
1407.00000000,BACKGROUND112,BACKGROUND135,1.03386492
1408.00000000,BACKGROUND112,BACKGROUND135,1.03386526
1409.00000000,BACKGROUND112,BACKGROUND135,1.03386560
1410.00000000,BACKGROUND112,BACKGROUND135,1.03386594
1411.00000000,BACKGROUND112,BACKGROUND135,1.03386628
1412.00000000,BACKGROUND112,BACKGROUND135,1.03386663
1413.00000000,BACKGROUND112,BACKGROUND135,1.03386698
1414.00000000,BACKGROUND112,BACKGROUND135,1.03386733
1415.00000000,BACKGROUND112,BACKGROUND135,1.03386769
1416.00000000,BACKGROUND112,BACKGROUND135,1.03386804
1417.00000000,BACKGROUND112,BACKGROUND135,1.03386841
1418.00000000,BACKGROUND112,BACKGROUND135,1.03386877
1419.00000000,BACKGROUND112,BACKGROUND135,1.03386914
1420.00000000,BACKGROUND112,BACKGROUND135,1.03386951
1421.00000000,BACKGROUND112,BACKGROUND135,1.03386988
1422.00000000,BACKGROUND112,BACKGROUND135,1.03387026
1423.00000000,BACKGROUND112,BACKGROUND135,1.03387064
1424.00000000,BACKGROUND112,BACKGROUND135,1.03387103
1425.00000000,BACKGROUND112,BACKGROUND135,1.03387141
1426.00000000,BACKGROUND112,BACKGROUND135,1.03387180
1427.00000000,BACKGROUND112,BACKGROUND135,1.03387219
1428.00000000,BACKGROUND112,BACKGROUND135,1.03387259
1429.00000000,BACKGROUND112,BACKGROUND135,1.03387299
1430.00000000,BACKGROUND112,BACKGROUND135,1.03387339
1431.00000000,BACKGROUND112,BACKGROUND135,1.03387379
1432.00000000,BACKGROUND112,BACKGROUND135,1.03387420
1433.00000000,BACKGROUND112,BACKGROUND135,1.03387461
1434.00000000,BACKGROUND112,BACKGROUND135,1.03387503
1435.00000000,BACKGROUND112,BACKGROUND135,1.03387544
1436.00000000,BACKGROUND112,BACKGROUND135,1.03387586
1437.00000000,BACKGROUND112,BACKGROUND135,1.03387628
1438.00000000,BACKGROUND112,BACKGROUND135,1.03387671
1439.00000000,BACKGROUND112,BACKGROUND135,1.03387714
1440.00000000,BACKGROUND112,BACKGROUND135,1.03387757
1441.00000000,BACKGROUND112,BACKGROUND135,1.03387801
1442.00000000,BACKGROUND112,BACKGROUND135,1.03387844
1443.00000000,BACKGROUND112,BACKGROUND135,1.03387889
1444.00000000,BACKGROUND112,BACKGROUND135,1.03387933
1445.00000000,BACKGROUND112,BACKGROUND135,1.03387978
1446.00000000,BACKGROUND112,BACKGROUND135,1.03388023
1447.00000000,BACKGROUND112,BACKGROUND135,1.03388068
1448.00000000,BACKGROUND112,BACKGROUND135,1.03388114
1449.00000000,BACKGROUND112,BACKGROUND135,1.03388160
1450.00000000,BACKGROUND112,BACKGROUND135,1.03388206
1451.00000000,BACKGROUND112,BACKGROUND135,1.03388252
1452.00000000,BACKGROUND112,BACKGROUND135,1.03388299
