# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
789.00000000,BACKGROUND23,BACKGROUND25,0.00991417
819.00000000,BACKGROUND15,BACKGROUND20,1.21359391
868.00000000,BACKGROUND20,BACKGROUND22,0.04840936
897.00000000,DELIVERY2,DELIVERY3,0.85338666
1414.00000000,BACKGROUND62,DELIVERY5,1.98489988
1420.00000000,DELIVERY4,DELIVERY9,0.32411929
1454.00000000,DELIVERY6,DELIVERY9,0.69815193
1455.00000000,DELIVERY6,DELIVERY9,1.63150025
1456.00000000,DELIVERY6,DELIVERY9,1.63150025
1457.00000000,DELIVERY6,DELIVERY9,1.63150025
1458.00000000,DELIVERY6,DELIVERY9,1.63150025
1459.00000000,DELIVERY6,DELIVERY9,1.63150025
1460.00000000,DELIVERY6,DELIVERY9,1.63150025
1461.00000000,DELIVERY6,DELIVERY9,1.63150025
1462.00000000,DELIVERY6,DELIVERY9,1.63150025
1466.00000000,DELIVERY6,DELIVERY9,0.36486311
1487.00000000,BACKGROUND55,BACKGROUND60,0.29345648
1589.00000000,DELIVERY8,DELIVERY9,0.30729075
1654.00000000,BACKGROUND40,BACKGROUND56,0.12386536
1665.00000000,DELIVERY10,DELIVERY4,0.00092675
1840.00000000,BACKGROUND58,BACKGROUND61,7.22079143
1924.00000000,DELIVERY12,DELIVERY7,0.00014750
1925.00000000,DELIVERY10,DELIVERY11,0.35018816
1926.00000000,DELIVERY10,DELIVERY11,0.73996853
2035.00000000,DELIVERY10,DELIVERY13,1.81662894
2036.00000000,DELIVERY10,DELIVERY13,1.81662894
2037.00000000,DELIVERY10,DELIVERY13,1.81662894
2038.00000000,DELIVERY10,DELIVERY13,1.81662894
2039.00000000,DELIVERY10,DELIVERY13,1.81662894
2040.00000000,DELIVERY10,DELIVERY13,1.81662894
2041.00000000,DELIVERY10,DELIVERY13,1.81662894
2042.00000000,DELIVERY10,DELIVERY13,1.81662894
2043.00000000,DELIVERY10,DELIVERY13,1.81662894
2044.00000000,DELIVERY10,DELIVERY13,1.81662894
2046.00000000,DELIVERY15,DELIVERY7,0.18941602
2052.00000000,BACKGROUND64,BACKGROUND66,0.64378098
2090.00000000,BACKGROUND64,BACKGROUND95,0.89900705
2119.00000000,BACKGROUND89,BACKGROUND96,3.35585311
2125.00000000,BACKGROUND89,BACKGROUND96,1.13674528
2127.00000000,DELIVERY12,DELIVERY13,0.36654942
2208.00000000,BACKGROUND90,BACKGROUND98,1.24543754
