# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
681.00000000,BACKGROUND2,DELIVERY2,0.47500571
906.00000000,DELIVERY1,DELIVERY5,0.68775021
1460.00000000,DELIVERY5,DELIVERY7,0.03480511
1501.00000000,DELIVERY11,DELIVERY9,0.00000000
1502.00000000,DELIVERY11,DELIVERY9,0.00000000
1503.00000000,DELIVERY11,DELIVERY9,0.00000000
1504.00000000,DELIVERY11,DELIVERY9,0.00000000
1505.00000000,DELIVERY11,DELIVERY9,0.00000000
1506.00000000,DELIVERY11,DELIVERY9,0.00000000
1507.00000000,DELIVERY11,DELIVERY9,0.00000000
1508.00000000,DELIVERY11,DELIVERY9,0.00000000
1509.00000000,DELIVERY11,DELIVERY9,0.00000000
1510.00000000,DELIVERY11,DELIVERY9,0.00000000
1511.00000000,DELIVERY11,DELIVERY9,0.00000000
1512.00000000,DELIVERY11,DELIVERY9,0.00000000
1513.00000000,DELIVERY11,DELIVERY9,0.00000000
1514.00000000,DELIVERY11,DELIVERY9,0.00000000
1515.00000000,DELIVERY11,DELIVERY9,0.00000000
1516.00000000,DELIVERY11,DELIVERY9,0.00000000
1517.00000000,DELIVERY11,DELIVERY9,0.00000000
1518.00000000,DELIVERY11,DELIVERY9,0.00000000
1519.00000000,DELIVERY11,DELIVERY9,0.00000000
1520.00000000,DELIVERY11,DELIVERY9,0.00000000
1521.00000000,DELIVERY11,DELIVERY9,0.00000000
1522.00000000,DELIVERY11,DELIVERY9,0.00000000
1523.00000000,DELIVERY11,DELIVERY9,0.00000000
1524.00000000,DELIVERY11,DELIVERY9,0.00000000
1525.00000000,DELIVERY11,DELIVERY9,0.00000000
1526.00000000,DELIVERY11,DELIVERY9,0.00000000
1527.00000000,DELIVERY11,DELIVERY9,0.00000000
1528.00000000,DELIVERY11,DELIVERY9,0.00000000
1529.00000000,DELIVERY11,DELIVERY9,0.00000000
1530.00000000,DELIVERY11,DELIVERY9,0.00000000
1531.00000000,DELIVERY11,DELIVERY9,0.00000000
1532.00000000,DELIVERY11,DELIVERY9,0.00000000
1533.00000000,DELIVERY11,DELIVERY9,0.00000000
1534.00000000,DELIVERY11,DELIVERY9,0.00000000
1535.00000000,DELIVERY11,DELIVERY9,0.00000000
1536.00000000,DELIVERY11,DELIVERY9,0.00000000
1537.00000000,DELIVERY11,DELIVERY9,0.00000000
1538.00000000,DELIVERY11,DELIVERY9,0.00000000
1539.00000000,DELIVERY11,DELIVERY9,0.00000000
1542.00000000,DELIVERY11,DELIVERY9,0.00000000
1543.00000000,DELIVERY11,DELIVERY9,0.00000000
1544.00000000,DELIVERY11,DELIVERY9,0.00000000
1545.00000000,DELIVERY11,DELIVERY9,0.00000000
1547.00000000,DELIVERY11,DELIVERY9,0.00000000
1548.00000000,DELIVERY11,DELIVERY9,0.00000000
1549.00000000,DELIVERY11,DELIVERY9,0.00000000
1550.00000000,DELIVERY11,DELIVERY9,0.00000000
1551.00000000,DELIVERY11,DELIVERY9,0.00000000
1552.00000000,DELIVERY11,DELIVERY9,0.00000000
1553.00000000,DELIVERY11,DELIVERY9,0.00000000
1554.00000000,DELIVERY11,DELIVERY9,0.00000000
1555.00000000,DELIVERY11,DELIVERY9,0.00000000
1556.00000000,DELIVERY11,DELIVERY9,0.00000000
1557.00000000,DELIVERY11,DELIVERY9,0.00000000
1558.00000000,DELIVERY11,DELIVERY9,0.00000000
1559.00000000,DELIVERY11,DELIVERY9,0.00000000
1560.00000000,DELIVERY11,DELIVERY9,0.00000000
1561.00000000,DELIVERY11,DELIVERY9,0.00000000
