# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
3197.00000000,DELIVERY19,DELIVERY27,1.76661206
3198.00000000,DELIVERY19,DELIVERY27,1.76661206
3199.00000000,DELIVERY19,DELIVERY27,1.76661206
3200.00000000,DELIVERY19,DELIVERY27,1.76661206
3201.00000000,DELIVERY19,DELIVERY27,1.76661206
3202.00000000,DELIVERY19,DELIVERY27,1.76661206
3203.00000000,DELIVERY19,DELIVERY27,1.76661206
3218.00000000,BACKGROUND153,DELIVERY22,1.85780880
3301.00000000,DELIVERY26,DELIVERY28,0.00000000
3302.00000000,DELIVERY26,DELIVERY28,0.00000000
3303.00000000,DELIVERY26,DELIVERY28,0.00000000
3304.00000000,DELIVERY26,DELIVERY28,0.00000000
3305.00000000,DELIVERY26,DELIVERY28,0.00000000
3306.00000000,DELIVERY26,DELIVERY28,0.00000000
3307.00000000,DELIVERY26,DELIVERY28,0.00000000
3308.00000000,DELIVERY26,DELIVERY28,0.00000000
3309.00000000,DELIVERY26,DELIVERY28,0.00000000
3310.00000000,DELIVERY26,DELIVERY28,0.00000000
3311.00000000,DELIVERY26,DELIVERY28,0.00000000
3312.00000000,DELIVERY26,DELIVERY28,0.00000000
3313.00000000,DELIVERY26,DELIVERY28,0.00000000
3314.00000000,DELIVERY26,DELIVERY28,0.00000000
3315.00000000,DELIVERY26,DELIVERY28,0.00000000
3316.00000000,DELIVERY26,DELIVERY28,0.00000000
3317.00000000,DELIVERY26,DELIVERY28,0.00000000
3318.00000000,DELIVERY26,DELIVERY28,0.00000000
3319.00000000,DELIVERY26,DELIVERY28,0.00000000
3320.00000000,DELIVERY26,DELIVERY28,0.00000000
3321.00000000,DELIVERY26,DELIVERY28,0.00000000
3322.00000000,DELIVERY26,DELIVERY28,0.00000000
3323.00000000,DELIVERY26,DELIVERY28,0.00000000
3324.00000000,DELIVERY26,DELIVERY28,0.00000000
3325.00000000,DELIVERY26,DELIVERY28,0.00000000
3326.00000000,DELIVERY26,DELIVERY28,0.00000000
3327.00000000,DELIVERY26,DELIVERY28,0.00000000
3328.00000000,DELIVERY26,DELIVERY28,0.00000000
3329.00000000,DELIVERY26,DELIVERY28,0.00000000
3330.00000000,DELIVERY26,DELIVERY28,0.00000000
3331.00000000,DELIVERY26,DELIVERY28,0.00000000
3332.00000000,DELIVERY26,DELIVERY28,0.00000000
3333.00000000,DELIVERY26,DELIVERY28,0.00000000
3334.00000000,DELIVERY26,DELIVERY28,0.00000000
3335.00000000,DELIVERY26,DELIVERY28,0.00000000
3336.00000000,DELIVERY26,DELIVERY28,0.00000000
3337.00000000,DELIVERY26,DELIVERY28,0.00000000
3338.00000000,DELIVERY26,DELIVERY28,0.00000000
3339.00000000,DELIVERY26,DELIVERY28,0.00000000
3340.00000000,DELIVERY26,DELIVERY28,0.00000000
3341.00000000,DELIVERY26,DELIVERY28,0.00000000
3342.00000000,DELIVERY26,DELIVERY28,0.00000000
3343.00000000,DELIVERY26,DELIVERY28,0.00000000
3344.00000000,DELIVERY26,DELIVERY28,0.00000000
3345.00000000,DELIVERY26,DELIVERY28,0.00000000
3346.00000000,DELIVERY26,DELIVERY28,0.00000000
3347.00000000,DELIVERY26,DELIVERY28,0.00000000
3348.00000000,DELIVERY26,DELIVERY28,0.00000000
3349.00000000,DELIVERY26,DELIVERY28,0.00000000
3350.00000000,DELIVERY26,DELIVERY28,0.00000000
3351.00000000,DELIVERY26,DELIVERY28,0.00000000
3352.00000000,DELIVERY26,DELIVERY28,0.00000000
3353.00000000,DELIVERY26,DELIVERY28,0.00000000
3354.00000000,DELIVERY26,DELIVERY28,0.00000000
3355.00000000,DELIVERY26,DELIVERY28,0.00000000
3356.00000000,DELIVERY26,DELIVERY28,0.00000000
3357.00000000,DELIVERY26,DELIVERY28,0.00000000
3358.00000000,DELIVERY26,DELIVERY28,0.00000000
3359.00000000,DELIVERY26,DELIVERY28,0.00000000
3360.00000000,DELIVERY26,DELIVERY28,0.00000000
3361.00000000,DELIVERY26,DELIVERY28,0.00000000
3362.00000000,DELIVERY26,DELIVERY28,0.00000000
3363.00000000,DELIVERY26,DELIVERY28,0.00000000
3364.00000000,DELIVERY26,DELIVERY28,0.00000000
3365.00000000,DELIVERY26,DELIVERY28,0.00000000
3366.00000000,DELIVERY26,DELIVERY28,0.00000000
3367.00000000,DELIVERY26,DELIVERY28,0.00000000
3368.00000000,DELIVERY26,DELIVERY28,0.00000000
3369.00000000,DELIVERY26,DELIVERY28,0.00000000
3370.00000000,DELIVERY26,DELIVERY28,0.00000000
3371.00000000,DELIVERY26,DELIVERY28,0.00000000
3372.00000000,DELIVERY26,DELIVERY28,0.00000000
3373.00000000,DELIVERY26,DELIVERY28,0.00000000
3374.00000000,DELIVERY26,DELIVERY28,0.00000000
3375.00000000,DELIVERY26,DELIVERY28,0.00000000
3376.00000000,DELIVERY26,DELIVERY28,0.00000000
3377.00000000,DELIVERY26,DELIVERY28,0.00000000
3378.00000000,DELIVERY26,DELIVERY28,0.00000000
3379.00000000,DELIVERY26,DELIVERY28,0.00000000
3380.00000000,DELIVERY26,DELIVERY28,0.00000000
3381.00000000,DELIVERY26,DELIVERY28,0.00000000
3382.00000000,DELIVERY26,DELIVERY28,0.00000000
3383.00000000,DELIVERY26,DELIVERY28,0.00000000
3384.00000000,DELIVERY26,DELIVERY28,0.00000000
3385.00000000,DELIVERY26,DELIVERY28,0.00000000
3394.00000000,DELIVERY26,DELIVERY28,0.00000000
3395.00000000,DELIVERY26,DELIVERY28,0.00000000
3396.00000000,DELIVERY26,DELIVERY28,0.00000000
3397.00000000,DELIVERY26,DELIVERY28,0.00000000
3398.00000000,DELIVERY26,DELIVERY28,0.00000000
3399.00000000,DELIVERY26,DELIVERY28,0.00000000
3400.00000000,DELIVERY26,DELIVERY28,0.00000000
3401.00000000,DELIVERY26,DELIVERY28,0.00000000
3402.00000000,DELIVERY26,DELIVERY28,0.00000000
3403.00000000,DELIVERY26,DELIVERY28,0.00000000
3404.00000000,DELIVERY26,DELIVERY28,0.00000000
3405.00000000,DELIVERY26,DELIVERY28,0.00000000
3406.00000000,DELIVERY26,DELIVERY28,0.00000000
3407.00000000,DELIVERY26,DELIVERY28,0.00000000
3408.00000000,DELIVERY26,DELIVERY28,0.00000000
3409.00000000,DELIVERY26,DELIVERY28,0.00000000
3410.00000000,DELIVERY26,DELIVERY28,0.00000000
3411.00000000,DELIVERY26,DELIVERY28,0.00000000
3412.00000000,DELIVERY26,DELIVERY28,0.00000000
3413.00000000,DELIVERY26,DELIVERY28,0.00000000
3414.00000000,DELIVERY26,DELIVERY28,0.00000000
3415.00000000,DELIVERY26,DELIVERY28,0.00000000
3416.00000000,DELIVERY26,DELIVERY28,0.00000000
3417.00000000,DELIVERY26,DELIVERY28,0.00000000
3418.00000000,DELIVERY26,DELIVERY28,0.00000000
3419.00000000,DELIVERY26,DELIVERY28,0.00000000
