# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
312.00000000,BACKGROUND11,BACKGROUND4,1.27537047
352.00000000,BACKGROUND7,BACKGROUND9,0.00167194
582.00000000,BACKGROUND22,DELIVERY1,9.64497051
593.00000000,BACKGROUND2,BACKGROUND22,0.43164164
647.00000000,BACKGROUND10,BACKGROUND17,5.46731568
743.00000000,BACKGROUND22,DELIVERY3,0.23573705
755.00000000,BACKGROUND16,BACKGROUND8,0.00043768
810.00000000,BACKGROUND22,BACKGROUND36,0.81315296
838.00000000,BACKGROUND23,BACKGROUND26,0.00119332
892.00000000,BACKGROUND26,DELIVERY2,0.07209554
910.00000000,BACKGROUND33,BACKGROUND39,0.00039994
919.00000000,DELIVERY2,DELIVERY5,0.07354855
946.00000000,BACKGROUND26,BACKGROUND41,0.66085324
992.00000000,DELIVERY3,DELIVERY6,0.05135707
1043.00000000,BACKGROUND23,BACKGROUND8,12.41670195
1206.00000000,BACKGROUND40,BACKGROUND51,22.89661645
1219.00000000,DELIVERY5,DELIVERY9,0.07354855
1282.00000000,BACKGROUND40,BACKGROUND58,1.73467538
1292.00000000,DELIVERY6,DELIVERY7,0.05135707
1319.00000000,BACKGROUND49,BACKGROUND55,0.44182935
1401.00000000,BACKGROUND58,DELIVERY4,9.43806177
1402.00000000,BACKGROUND58,BACKGROUND62,6.40061486
1403.00000000,BACKGROUND62,DELIVERY4,0.14448005
1422.00000000,BACKGROUND62,DELIVERY4,23.69398441
1436.00000000,BACKGROUND62,DELIVERY4,10.20920664
1508.00000000,BACKGROUND62,DELIVERY4,1.05111698
1519.00000000,DELIVERY11,DELIVERY9,0.07354855
1592.00000000,DELIVERY12,DELIVERY7,0.05135707
1638.00000000,BACKGROUND67,BACKGROUND73,0.39148012
1709.00000000,BACKGROUND47,BACKGROUND83,0.55894998
1819.00000000,DELIVERY11,DELIVERY13,0.07354855
1820.00000000,BACKGROUND82,DELIVERY8,0.00455785
1892.00000000,DELIVERY12,DELIVERY15,0.05135707
1929.00000000,BACKGROUND81,BACKGROUND86,0.10370792
1937.00000000,BACKGROUND64,DELIVERY14,0.00179610
1969.00000000,BACKGROUND85,BACKGROUND89,0.00939929
2074.00000000,BACKGROUND86,BACKGROUND96,0.52145657
2077.00000000,BACKGROUND94,BACKGROUND95,0.00797114
2089.00000000,BACKGROUND101,DELIVERY14,26.57005443
2112.00000000,BACKGROUND103,BACKGROUND104,0.72941070
2119.00000000,DELIVERY13,DELIVERY16,0.07354855
2192.00000000,DELIVERY15,DELIVERY17,0.05135707
2371.00000000,BACKGROUND109,DELIVERY14,0.01053805
2382.00000000,BACKGROUND114,BACKGROUND118,8.71724704
2419.00000000,DELIVERY16,DELIVERY20,0.07354855
2427.00000000,BACKGROUND120,DELIVERY16,3.87412653
2492.00000000,DELIVERY17,DELIVERY21,0.05135707
2570.00000000,BACKGROUND119,BACKGROUND124,10.51296467
2573.00000000,BACKGROUND112,BACKGROUND124,6.86913071
2577.00000000,BACKGROUND116,DELIVERY19,1.96143554
2630.00000000,BACKGROUND114,BACKGROUND127,0.00003907
2637.00000000,BACKGROUND106,BACKGROUND120,0.00648806
2709.00000000,BACKGROUND116,DELIVERY18,11.98693996
2719.00000000,DELIVERY20,DELIVERY23,0.07354855
2726.00000000,BACKGROUND123,BACKGROUND129,0.04710600
2792.00000000,DELIVERY21,DELIVERY24,0.05135707
2902.00000000,BACKGROUND128,DELIVERY22,0.00144488
3019.00000000,DELIVERY23,DELIVERY27,0.07354855
3026.00000000,BACKGROUND151,DELIVERY23,16.59767934
3065.00000000,BACKGROUND128,DELIVERY26,30.42961687
3072.00000000,BACKGROUND146,BACKGROUND149,0.01716403
3092.00000000,DELIVERY24,DELIVERY25,0.05135707
3136.00000000,BACKGROUND145,BACKGROUND149,0.14115751
3186.00000000,BACKGROUND127,BACKGROUND144,0.08782630
3189.00000000,BACKGROUND145,DELIVERY26,0.13068607
3305.00000000,BACKGROUND140,BACKGROUND159,0.00066158
3319.00000000,DELIVERY27,DELIVERY29,0.07354855
3392.00000000,DELIVERY25,DELIVERY30,0.05135707
3408.00000000,BACKGROUND140,BACKGROUND153,0.00092754
3439.00000000,BACKGROUND140,BACKGROUND168,10.01826381
3460.00000000,BACKGROUND156,BACKGROUND162,0.00447377
3473.00000000,BACKGROUND140,BACKGROUND170,0.01124706
3483.00000000,BACKGROUND156,DELIVERY28,0.01254329
3530.00000000,BACKGROUND168,DELIVERY29,5.19693278
