# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
1482.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1483.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1484.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1485.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1486.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1487.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1488.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1489.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1490.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1491.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1492.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1493.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1494.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1495.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1495.00000000,BACKGROUND114,BACKGROUND75,0.53608668
1496.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1497.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1498.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1499.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1500.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1501.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1502.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1503.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1504.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1505.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1506.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1507.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1508.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1509.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1510.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1511.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1512.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1513.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1514.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1515.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1516.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1517.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1518.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1519.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1520.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1521.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1522.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1523.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1524.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1525.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1526.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1527.00000000,BACKGROUND57,BACKGROUND77,26.47153697
