# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
260.00000000,BACKGROUND5,DELIVERY1,0.07962352
419.00000000,BACKGROUND17,BACKGROUND4,0.00758465
585.00000000,BACKGROUND14,BACKGROUND19,0.02273209
626.00000000,BACKGROUND14,BACKGROUND19,1.36272310
653.00000000,BACKGROUND14,BACKGROUND19,0.68968341
669.00000000,DELIVERY1,DELIVERY2,8.08114834
854.00000000,DELIVERY2,DELIVERY3,0.71038579
855.00000000,DELIVERY2,DELIVERY3,1.64994344
856.00000000,DELIVERY2,DELIVERY3,1.64994344
857.00000000,DELIVERY2,DELIVERY3,1.64994344
858.00000000,DELIVERY2,DELIVERY3,1.64994344
859.00000000,DELIVERY2,DELIVERY3,1.64994344
860.00000000,DELIVERY2,DELIVERY3,1.64994344
861.00000000,DELIVERY2,DELIVERY3,1.64994344
862.00000000,DELIVERY2,DELIVERY3,1.64994344
893.00000000,DELIVERY2,DELIVERY3,0.07152132
1026.00000000,DELIVERY2,DELIVERY5,8.71790849
1397.00000000,DELIVERY6,DELIVERY9,0.69166083
1398.00000000,DELIVERY6,DELIVERY9,1.62115610
1399.00000000,DELIVERY6,DELIVERY9,1.62115610
1400.00000000,DELIVERY6,DELIVERY9,1.62115610
1401.00000000,DELIVERY6,DELIVERY9,1.62115610
1402.00000000,DELIVERY6,DELIVERY9,1.62115610
1402.00000000,BACKGROUND46,BACKGROUND54,4.11613196
1403.00000000,DELIVERY6,DELIVERY9,1.62115610
1404.00000000,DELIVERY6,DELIVERY9,1.62115610
1405.00000000,DELIVERY6,DELIVERY9,1.62115610
1406.00000000,DELIVERY6,DELIVERY9,1.62115610
1407.00000000,DELIVERY6,DELIVERY9,1.62115610
1408.00000000,DELIVERY6,DELIVERY9,1.62115610
1409.00000000,DELIVERY6,DELIVERY9,1.62115610
1410.00000000,DELIVERY6,DELIVERY9,1.62115610
1411.00000000,DELIVERY6,DELIVERY9,1.62115610
1412.00000000,DELIVERY6,DELIVERY9,1.62115610
1413.00000000,DELIVERY6,DELIVERY9,1.62115610
1414.00000000,DELIVERY6,DELIVERY9,1.62115610
1415.00000000,DELIVERY6,DELIVERY9,1.62115610
1416.00000000,DELIVERY6,DELIVERY9,1.62115610
